,Time,Regulation Up Activated [MWh] - MBA|NO5,Regulation Up Activated [MWh] - MBA|NO4,Regulation Up Activated [MWh] - MBA|NO3,Regulation Up Activated [MWh] - MBA|NO2,Regulation Up Activated [MWh] - MBA|NO1
0,2023-06-26 00:00:00+02:00,0,0,0,0,0
1,2023-06-26 01:00:00+02:00,0,0,0,0,0
2,2023-06-26 02:00:00+02:00,0,0,0,0,0
3,2023-06-26 03:00:00+02:00,0,0,0,0,0
4,2023-06-26 04:00:00+02:00,0,0,0,0,0
5,2023-06-26 05:00:00+02:00,0,0,0,0,0
6,2023-06-26 06:00:00+02:00,13,6,0,33,0
7,2023-06-26 07:00:00+02:00,49,29,0,132,0
8,2023-06-26 08:00:00+02:00,42,25,5,114,0
9,2023-06-26 09:00:00+02:00,17,11,0,63,0
10,2023-06-26 10:00:00+02:00,0,0,0,0,0
11,2023-06-26 11:00:00+02:00,13,5,0,13,0
12,2023-06-26 12:00:00+02:00,0,0,0,0,0
13,2023-06-26 13:00:00+02:00,56,29,0,37,0
14,2023-06-26 14:00:00+02:00,3,2,0,2,0
15,2023-06-26 15:00:00+02:00,16,7,0,9,0
16,2023-06-26 16:00:00+02:00,52,22,0,27,0
17,2023-06-26 17:00:00+02:00,22,10,0,20,0
18,2023-06-26 18:00:00+02:00,10,5,0,9,0
19,2023-06-26 19:00:00+02:00,33,26,0,73,0
20,2023-06-26 20:00:00+02:00,12,11,0,32,0
21,2023-06-26 21:00:00+02:00,3,3,0,9,0
22,2023-06-26 22:00:00+02:00,15,13,0,40,0
23,2023-06-26 23:00:00+02:00,3,2,0,6,0
